Kata,TF-IDF Score,kategori
banjir,0.12876042478637453,Banjir Biasa
air,0.1164693115366404,Banjir Biasa
jalan,0.09283740126920526,Banjir Biasa
warga,0.08869784798820615,Banjir Biasa
genang,0.07799716083598038,Banjir Biasa
hujan,0.07386059106385304,Banjir Biasa
rumah,0.0716206817123787,Banjir Biasa
rendam,0.06941012889064412,Banjir Biasa
tingi,0.06097309448484348,Banjir Biasa
jadi,0.05637173464893035,Banjir Biasa
desa,0.04935511915899799,Banjir Biasa
kota,0.04925879044691247,Banjir Biasa
sungai,0.04701395563918277,Banjir Biasa
hinga,0.04626789369284025,Banjir Biasa
jakarta,0.04331448106183223,Banjir Biasa
bpbd,0.042924580714928204,Banjir Biasa
sebut,0.04239226148358804,Banjir Biasa
akibat,0.04232712850552984,Banjir Biasa
wilayah,0.04163831174950025,Banjir Biasa
genang air,0.0404826896776392,Banjir Biasa
banjir,0.06759825107676448,Banjir Bandang
bencana,0.06530256810697155,Banjir Bandang
korban,0.061039104036853926,Banjir Bandang
orang,0.057131026037096924,Banjir Bandang
aceh,0.05537520499522769,Banjir Bandang
kabupaten,0.04883282598524379,Banjir Bandang
bandang,0.04819600971764034,Banjir Bandang
wilayah,0.047644780755206395,Banjir Bandang
banjir bandang,0.0476179427435167,Banjir Bandang
sumatera,0.04713397033937438,Banjir Bandang
dampak,0.046479193981868436,Banjir Bandang
jadi,0.04537189487225256,Banjir Bandang
timur,0.04449681599255346,Banjir Bandang
bantu,0.0428820333191341,Banjir Bandang
hujan,0.04171887020270857,Banjir Bandang
kata,0.04107657098062687,Banjir Bandang
warga,0.03992505255768266,Banjir Bandang
meningal,0.03966099817009331,Banjir Bandang
desa,0.03867472569680608,Banjir Bandang
rumah,0.03837789777880734,Banjir Bandang
